id,title,body,category,priority
36,Computer lento,Il sistema è molto lento per mancanza di RAM Senza fretta.,Tecnico,bassa
37,Richiesta TFR,"Devo aggiornare il mio indirizzo di residenza Sono fermo, non posso procedere.",Amministrazione,alta
38,Catalogo prodotti,Vorrei informazioni sulla promozione attiva Resto in attesa di risposta.,Commerciale,media
39,Spedizione urgente,Vorrei discutere un contratto di fornitura Ho bisogno di aiuto immediato.,Commerciale,alta
40,Modifica anagrafica,"Ho ricevuto il contratto da firmare Non è urgente, quando avete tempo.",Amministrazione,bassa
41,Software da installare,Il sistema mostra un errore critico all'avvio Solo per avere informazioni.,Tecnico,bassa
42,Connessione internet assente,Il disco C: è quasi pieno Attendo riscontro.,Tecnico,media
43,Configurazione email,Il sistema nega l'accesso ai file condivisi Fatemi sapere.,Tecnico,media
44,Richiesta preventivo,Sono interessato a un upgrade del piano attuale Senza fretta.,Commerciale,bassa
45,Disdetta servizio,Vorrei tracciare il mio ordine Grazie in anticipo.,Commerciale,media
46,Informazioni prodotto,Ci sono offerte speciali in corso? Resto in attesa di risposta.,Commerciale,media
47,Disco pieno,"Il PC si spegne improvvisamente senza motivo Situazione critica, sistema bloccato.",Tecnico,alta
48,Offerta speciale,Il prodotto ricevuto presenta dei difetti È bloccante per il mio lavoro.,Commerciale,alta
49,Virus rilevato,Lo schermo rimane nero dopo l'accensione Non è prioritario.,Tecnico,bassa
50,Backup fallito,Le email inviate non arrivano a destinazione Senza fretta.,Tecnico,bassa
51,Modifica ordine,Vorrei informazioni sulla promozione attiva È bloccante per il mio lavoro.,Commerciale,alta
52,Congedo parentale,"Vorrei attivare lo smart working Quando possibile, grazie.",Amministrazione,media
53,Cambio IBAN,Ho ricevuto il contratto da firmare Problema grave che blocca tutto.,Amministrazione,alta
54,Spedizione urgente,Vorrei tracciare il mio ordine Attendo riscontro.,Commerciale,media
55,Modifica ordine,Ho bisogno di una spedizione urgente A vostra comodità.,Commerciale,bassa
56,Contratto fornitura,Vorrei ricevere un preventivo per i vostri servizi Solo per avere informazioni.,Commerciale,bassa
57,Stampante non stampa,"Non riesco a connettermi alla rete aziendale Sono fermo, non posso procedere.",Tecnico,alta
58,Richiesta campioni,"Siamo interessati a una partnership commerciale Emergenza, serve intervento immediato.",Commerciale,alta
59,Smart working,"Devo comunicare il nuovo IBAN per l'accredito stipendio Situazione critica, sistema bloccato.",Amministrazione,alta
60,Ordine in ritardo,Ho bisogno di informazioni su un prodotto specifico Grazie in anticipo.,Commerciale,media
61,Fattura errata,"Vorrei ricevere un preventivo per i vostri servizi Non è urgente, quando avete tempo.",Commerciale,bassa
62,Certificato lavoro,"Richiedo un anticipo sullo stipendio Non è urgente, quando avete tempo.",Amministrazione,bassa
63,Catalogo prodotti,Ci sono offerte speciali in corso? Grazie in anticipo.,Commerciale,media
64,VPN non funziona,Lo schermo rimane nero dopo l'accensione Cordiali saluti.,Tecnico,media
65,Backup fallito,Non esce audio dalle casse del computer Non è prioritario.,Tecnico,bassa
66,Reso merce,La fattura ricevuta contiene degli errori Grazie per l'assistenza.,Commerciale,media
67,Partnership commerciale,Siamo interessati a una partnership commerciale Grazie in anticipo.,Commerciale,media
68,Server non risponde,"Non esce audio dalle casse del computer Non è urgente, quando avete tempo.",Tecnico,bassa
69,Richiesta ferie,Devo aggiornare la richiesta assegni familiari È solo una domanda informativa.,Amministrazione,bassa
70,Partnership commerciale,È possibile ricevere dei campioni gratuiti? Cordiali saluti.,Commerciale,media
71,Software non funziona,"Le email inviate non arrivano a destinazione Urgentissimo, il cliente attende.",Tecnico,alta
72,CUD mancante,"Non ho ricevuto la CUD di quest'anno Urgentissimo, il cliente attende.",Amministrazione,alta
73,Computer lento,Il monitor presenta sfarfallii continui Ho bisogno di aiuto immediato.,Tecnico,alta
74,Richiesta campioni,"Sono un nuovo cliente e vorrei registrarmi Urgentissimo, il cliente attende.",Commerciale,alta
75,Cambio IBAN,"Richiedo un anticipo sullo stipendio Emergenza, serve intervento immediato.",Amministrazione,alta
76,Richiesta preventivo,È possibile ottenere uno sconto per grandi quantità? Solo per avere informazioni.,Commerciale,bassa
77,Connessione internet assente,L'applicazione si chiude inaspettatamente A vostra comodità.,Tecnico,bassa
78,Dimissioni,Non ho ricevuto la CUD di quest'anno Non è prioritario.,Amministrazione,bassa
79,CUD mancante,"Devo richiedere il rimborso delle spese di viaggio Emergenza, serve intervento immediato.",Amministrazione,alta
80,Stampante non stampa,"Ho bisogno di installare un nuovo software Urgentissimo, il cliente attende.",Tecnico,alta
81,Virus rilevato,Il computer impiega troppo tempo ad avviarsi Solo per curiosità.,Tecnico,bassa
82,Assistenza post-vendita,Devo modificare la quantità dell'ordine effettuato Grazie in anticipo.,Commerciale,media
83,Certificato lavoro,Vorrei informazioni sul prestito aziendale Non è prioritario.,Amministrazione,bassa
84,Ordine in ritardo,Confermo di aver effettuato il pagamento Solo per avere informazioni.,Commerciale,bassa
85,Dimissioni,Ho bisogno di modificare le detrazioni fiscali,Amministrazione,media
86,Reso merce,Il prodotto ricevuto presenta dei difetti Fatemi sapere.,Commerciale,media
87,Audio non funziona,"Il backup automatico non viene eseguito Situazione critica, sistema bloccato.",Tecnico,alta
88,Assistenza post-vendita,Devo modificare la quantità dell'ordine effettuato Fatemi sapere.,Commerciale,media
89,Fattura errata,Vorrei tracciare il mio ordine,Commerciale,media
90,Feedback servizio,Confermo di aver effettuato il pagamento Grazie in anticipo.,Commerciale,media
91,Driver mancante,"Il monitor presenta sfarfallii continui Urgentissimo, il cliente attende.",Tecnico,alta
92,Software da installare,Alcuni tasti della tastiera non funzionano Grazie in anticipo.,Tecnico,media
93,Driver mancante,Il disco C: è quasi pieno A vostra comodità.,Tecnico,bassa
94,Software da installare,Il mouse wireless non risponde Cordiali saluti.,Tecnico,media
95,Errore contributi,Vorrei presentare le dimissioni È solo una domanda informativa.,Amministrazione,bassa
96,Promozione attiva,Vorrei lasciare un feedback sul servizio ricevuto Quando possibile.,Commerciale,bassa
97,Richiesta campioni,Il prodotto ricevuto presenta dei difetti Resto in attesa di risposta.,Commerciale,media
98,RAM insufficiente,Il mouse wireless non risponde Cordiali saluti.,Tecnico,media
99,Busta paga errata,"Vorrei richiedere il congedo parentale Emergenza, serve intervento immediato.",Amministrazione,alta
100,Licenza scaduta,"Il sistema nega l'accesso ai file condivisi Sono fermo, non posso procedere.",Tecnico,alta
101,Software non funziona,Il sistema è molto lento per mancanza di RAM Solo per avere informazioni.,Tecnico,bassa
102,Promozione attiva,Ci sono offerte speciali in corso?,Commerciale,media
103,Problema di rete,La connessione VPN si disconnette continuamente Problema grave che blocca tutto.,Tecnico,alta
104,Richiesta ferie,Richiedo un permesso per visita medica Cordiali saluti.,Amministrazione,media
105,Modifica anagrafica,I contributi versati risultano errati È solo una domanda informativa.,Amministrazione,bassa
106,PC si spegne da solo,L'antivirus ha rilevato una minaccia,Tecnico,media
107,Promozione attiva,Devo modificare la quantità dell'ordine effettuato Solo per curiosità.,Commerciale,bassa
108,Rimborso spese,Il cedolino presenta delle anomalie Senza fretta.,Amministrazione,bassa
109,Reso merce,Sono un nuovo cliente e vorrei registrarmi Ho bisogno di aiuto immediato.,Commerciale,alta
110,Software da installare,La stampante non risponde ai comandi di stampa Fatemi sapere.,Tecnico,media
111,Straordinari non pagati,Il cedolino presenta delle anomalie È bloccante per il mio lavoro.,Amministrazione,alta
112,Cambio IBAN,"Richiedo assistenza per il modello 730 Situazione critica, sistema bloccato.",Amministrazione,alta
113,Nota spese,Richiedo informazioni sul congedo di maternità Cordiali saluti.,Amministrazione,media
114,Trasferta,Richiedo un cambio di mansione Senza fretta.,Amministrazione,bassa
115,Email non arrivano,Devo configurare la mia casella email A vostra comodità.,Tecnico,bassa
116,Richiesta campioni,È possibile ricevere dei campioni gratuiti? È bloccante per il mio lavoro.,Commerciale,alta
117,Richiesta TFR,"Vorrei informazioni sulla liquidazione del TFR Situazione critica, sistema bloccato.",Amministrazione,alta
118,Partnership commerciale,Invio sollecito per il pagamento della fattura,Commerciale,media
119,RAM insufficiente,"Devo configurare la mia casella email Sono fermo, non posso procedere.",Tecnico,alta
120,Pagamento effettuato,"Ho bisogno di una spedizione urgente Urgentissimo, il cliente attende.",Commerciale,alta
121,Rinnovo abbonamento,Devo modificare la quantità dell'ordine effettuato Cordiali saluti.,Commerciale,media
122,Tastiera bloccata,Le email inviate non arrivano a destinazione Resto in attesa di risposta.,Tecnico,media
123,Credito cliente,"Vorrei discutere un contratto di fornitura È urgente, non riesco a lavorare.",Commerciale,alta
124,Aggiornamento fallito,La licenza del software è scaduta Senza fretta.,Tecnico,bassa
125,Stampante non stampa,"Il sistema nega l'accesso ai file condivisi Emergenza, serve intervento immediato.",Tecnico,alta
126,Straordinari non pagati,Devo aggiornare il mio indirizzo di residenza A vostra comodità.,Amministrazione,bassa
127,Server non risponde,L'aggiornamento del sistema operativo è fallito Solo per avere informazioni.,Tecnico,bassa
128,Listino prezzi,Richiedo la sostituzione dell'articolo difettoso Non è prioritario.,Commerciale,bassa
129,Straordinari non pagati,Ho notato un errore nell'importo della busta paga Solo per avere informazioni.,Amministrazione,bassa
130,Malattia,Gli straordinari del mese scorso non sono stati pagati Attendo riscontro.,Amministrazione,media
131,Webcam non rilevata,Non esce audio dalle casse del computer A vostra comodità.,Tecnico,bassa
132,Attestato di servizio,"Vorrei richiedere le ferie per il mese prossimo Sono fermo, non posso procedere.",Amministrazione,alta
133,Backup fallito,Il mouse wireless non risponde Grazie in anticipo.,Tecnico,media
134,Connessione internet assente,"Il disco C: è quasi pieno È urgente, non riesco a lavorare.",Tecnico,alta
135,Lettera referenze,Devo comunicare un periodo di malattia Solo per avere informazioni.,Amministrazione,bassa
136,Software non funziona,Impossibile navigare su internet Cordiali saluti.,Tecnico,media
137,Variazione orario,Vorrei informazioni sul prestito aziendale Problema grave che blocca tutto.,Amministrazione,alta
138,Rinnovo contratto,Il cedolino presenta delle anomalie Attendo riscontro.,Amministrazione,media
139,Stampante non stampa,Non ricordo la password del mio account Attendo riscontro.,Tecnico,media
140,Catalogo prodotti,"Devo rinnovare il mio abbonamento Situazione critica, sistema bloccato.",Commerciale,alta
141,Cambio mansione,Il mio contratto è in scadenza Quando possibile.,Amministrazione,bassa
142,Informazioni prodotto,"Vorrei verificare il credito residuo È urgente, non riesco a lavorare.",Commerciale,alta
143,Richiesta TFR,Richiedo un anticipo sullo stipendio Senza fretta.,Amministrazione,bassa
144,Computer lento,"Alcuni tasti della tastiera non funzionano Urgentissimo, il cliente attende.",Tecnico,alta
145,Fattura errata,"Vorrei lasciare un feedback sul servizio ricevuto Sono fermo, non posso procedere.",Commerciale,alta
146,Rinnovo abbonamento,Il prodotto è ancora in garanzia? Cordiali saluti.,Commerciale,media
147,Connessione internet assente,La chiavetta USB non viene riconosciuta È bloccante per il mio lavoro.,Tecnico,alta
148,VPN non funziona,Manca il driver della scheda video Cordiali saluti.,Tecnico,media
149,Upgrade piano,Il prodotto è ancora in garanzia? Resto in attesa di risposta.,Commerciale,media
150,Assistenza post-vendita,Ho bisogno di informazioni su un prodotto specifico Cordiali saluti.,Commerciale,media
151,Errore contributi,Richiedo informazioni sul congedo di maternità Fatemi sapere.,Amministrazione,media
152,Busta paga errata,"Devo organizzare una trasferta di lavoro Emergenza, serve intervento immediato.",Amministrazione,alta
153,Modifica ordine,"Il mio ordine è in ritardo rispetto alla data prevista Urgentissimo, il cliente attende.",Commerciale,alta
154,Dimissioni,Vorrei richiedere le ferie per il mese prossimo Grazie per l'assistenza.,Amministrazione,media
155,Feedback servizio,Vorrei ricevere il catalogo prodotti completo Fatemi sapere.,Commerciale,media
156,Ordine in ritardo,Vorrei informazioni sulla promozione attiva A vostra comodità.,Commerciale,bassa
157,Rinnovo contratto,Vorrei attivare lo smart working Senza fretta.,Amministrazione,bassa
158,Disdetta servizio,Vorrei lasciare un feedback sul servizio ricevuto Grazie per l'assistenza.,Commerciale,media
159,Errore di sistema,Il backup automatico non viene eseguito Non è prioritario.,Tecnico,bassa
160,Reclamo prodotto,Ci sono offerte speciali in corso? Senza fretta.,Commerciale,bassa
161,Listino prezzi,Vorrei ricevere il catalogo prodotti completo,Commerciale,media
162,Mouse non funziona,Le email inviate non arrivano a destinazione Fatemi sapere.,Tecnico,media
163,Dimissioni,Vorrei presentare le dimissioni Grazie in anticipo.,Amministrazione,media
164,Mouse non funziona,"Il sistema nega l'accesso ai file condivisi Urgentissimo, il cliente attende.",Tecnico,alta
165,Dimissioni,Devo comunicare il nuovo IBAN per l'accredito stipendio Senza fretta.,Amministrazione,bassa
166,Contratto da firmare,Ho bisogno di modificare le detrazioni fiscali Problema grave che blocca tutto.,Amministrazione,alta
167,Richiesta permesso,Ho bisogno di un attestato di servizio Solo per avere informazioni.,Amministrazione,bassa
168,RAM insufficiente,"L'applicazione si chiude inaspettatamente Urgentissimo, il cliente attende.",Tecnico,alta
169,Listino prezzi,Vorrei annullare l'ordine numero 12345 Solo per avere informazioni.,Commerciale,bassa
170,Rinnovo abbonamento,Vorrei discutere un contratto di fornitura Senza fretta.,Commerciale,bassa
171,Cambio IBAN,Vorrei informazioni sulla liquidazione del TFR Senza fretta.,Amministrazione,bassa
172,Maternità,Richiedo una variazione dell'orario di lavoro È solo una domanda informativa.,Amministrazione,bassa
173,Pagamento effettuato,Richiedo il listino prezzi aggiornato Fatemi sapere.,Commerciale,media
174,Contratto da firmare,"Devo richiedere il rimborso delle spese di viaggio Quando possibile, grazie.",Amministrazione,media
175,RAM insufficiente,Il sistema nega l'accesso ai file condivisi Solo per curiosità.,Tecnico,bassa
176,Software non funziona,La stampante non risponde ai comandi di stampa Ho bisogno di aiuto immediato.,Tecnico,alta
177,Offerta speciale,Vorrei tracciare il mio ordine È bloccante per il mio lavoro.,Commerciale,alta
178,Assistenza post-vendita,Siamo interessati a una partnership commerciale Solo per curiosità.,Commerciale,bassa
179,Malattia,"Richiedo una variazione dell'orario di lavoro Situazione critica, sistema bloccato.",Amministrazione,alta
180,Certificato lavoro,Vorrei presentare le dimissioni Resto in attesa di risposta.,Amministrazione,media
181,Assistenza post-vendita,"Ho bisogno di una spedizione urgente Situazione critica, sistema bloccato.",Commerciale,alta
182,Driver mancante,L'applicazione si chiude inaspettatamente Ho bisogno di aiuto immediato.,Tecnico,alta
183,Trasferta,"Vorrei presentare le dimissioni Urgentissimo, il cliente attende.",Amministrazione,alta
184,Sostituzione articolo,È possibile ricevere dei campioni gratuiti?,Commerciale,media
185,Bluetooth non funziona,Il sistema nega l'accesso ai file condivisi È solo una domanda informativa.,Tecnico,bassa
186,Tastiera bloccata,Il server aziendale non è raggiungibile Grazie in anticipo.,Tecnico,media
187,Cambio mansione,Devo comunicare un periodo di malattia Solo per curiosità.,Amministrazione,bassa
188,Richiesta permesso,"Ho bisogno di una lettera di referenze Quando possibile, grazie.",Amministrazione,media
189,Assistenza post-vendita,Vorrei ricevere il catalogo prodotti completo Senza fretta.,Commerciale,bassa
190,Bluetooth non funziona,"Il sistema mostra un errore critico all'avvio Quando possibile, grazie.",Tecnico,media
191,USB non riconosciuta,La licenza del software è scaduta Cordiali saluti.,Tecnico,media
192,Webcam non rilevata,Impossibile navigare su internet Grazie in anticipo.,Tecnico,media
193,Bluetooth non funziona,Le email inviate non arrivano a destinazione Senza fretta.,Tecnico,bassa
194,Assistenza post-vendita,Ho bisogno di informazioni su un prodotto specifico È solo una domanda informativa.,Commerciale,bassa
195,Pagamento effettuato,"Devo modificare la quantità dell'ordine effettuato Emergenza, serve intervento immediato.",Commerciale,alta
196,Contratto fornitura,L'articolo che cerco è disponibile in magazzino? Quando possibile.,Commerciale,bassa
197,Webcam non rilevata,Il sistema nega l'accesso ai file condivisi Cordiali saluti.,Tecnico,media
198,Reso merce,L'articolo che cerco è disponibile in magazzino? Resto in attesa di risposta.,Commerciale,media
199,Disponibilità articolo,Il prodotto è ancora in garanzia? Grazie in anticipo.,Commerciale,media
200,Stampante non stampa,Il server aziendale non è raggiungibile Non è prioritario.,Tecnico,bassa
201,Cambio mansione,Ho bisogno di una lettera di referenze,Amministrazione,media
202,Assegni familiari,Ho ricevuto il contratto da firmare Solo per curiosità.,Amministrazione,bassa
203,Virus rilevato,Non riesco a connettermi alla rete aziendale Attendo riscontro.,Tecnico,media
204,Disco pieno,Il sistema nega l'accesso ai file condivisi Fatemi sapere.,Tecnico,media
205,Virus rilevato,"Non ricordo la password del mio account Quando possibile, grazie.",Tecnico,media
206,Webcam non rilevata,Il server aziendale non è raggiungibile Grazie in anticipo.,Tecnico,media
207,Richiesta ferie,"Vorrei informazioni sulla liquidazione del TFR È urgente, non riesco a lavorare.",Amministrazione,alta
208,Schermo nero,"Non ricordo la password del mio account Quando possibile, grazie.",Tecnico,media
209,Partnership commerciale,Sono un nuovo cliente e vorrei registrarmi Cordiali saluti.,Commerciale,media
210,Sostituzione articolo,"Richiedo la sostituzione dell'articolo difettoso Quando possibile, grazie.",Commerciale,media
211,Modifica anagrafica,Devo aggiornare il mio indirizzo di residenza Grazie in anticipo.,Amministrazione,media
212,Maternità,"Richiedo una variazione dell'orario di lavoro È urgente, non riesco a lavorare.",Amministrazione,alta
213,Monitor sfarfalla,"Il mouse wireless non risponde Emergenza, serve intervento immediato.",Tecnico,alta
214,Modifica ordine,La fattura ricevuta contiene degli errori È solo una domanda informativa.,Commerciale,bassa
215,Password dimenticata,La connessione VPN si disconnette continuamente Problema grave che blocca tutto.,Tecnico,alta
216,Tracciamento ordine,Il prodotto è ancora in garanzia? È bloccante per il mio lavoro.,Commerciale,alta
217,Mouse non funziona,L'aggiornamento del sistema operativo è fallito Non è prioritario.,Tecnico,bassa
218,Disco pieno,Devo configurare la mia casella email Non è prioritario.,Tecnico,bassa
219,Schermo nero,Manca il driver della scheda video Non è prioritario.,Tecnico,bassa
220,Trasferta,"I contributi versati risultano errati Urgentissimo, il cliente attende.",Amministrazione,alta
221,VPN non funziona,"Il file Excel non si apre correttamente Urgentissimo, il cliente attende.",Tecnico,alta
222,Errore di sistema,Il backup automatico non viene eseguito Ho bisogno di aiuto immediato.,Tecnico,alta
223,Disponibilità articolo,"Vorrei verificare il credito residuo Urgentissimo, il cliente attende.",Commerciale,alta
224,Busta paga errata,Ho ricevuto il contratto da firmare Ho bisogno di aiuto immediato.,Amministrazione,alta
225,Virus rilevato,Non ricordo la password del mio account Attendo riscontro.,Tecnico,media
226,Congedo parentale,Ho bisogno di un certificato di lavoro per la banca Cordiali saluti.,Amministrazione,media
227,Tracciamento ordine,"Il prodotto ricevuto presenta dei difetti Situazione critica, sistema bloccato.",Commerciale,alta
228,Offerta speciale,Ho bisogno di informazioni su un prodotto specifico Attendo riscontro.,Commerciale,media
229,Virus rilevato,Non esce audio dalle casse del computer Non è prioritario.,Tecnico,bassa
230,Busta paga errata,Richiedo un cambio di mansione Grazie per l'assistenza.,Amministrazione,media
231,Richiesta permesso,Vorrei attivare lo smart working Problema grave che blocca tutto.,Amministrazione,alta
232,RAM insufficiente,Non esce audio dalle casse del computer Cordiali saluti.,Tecnico,media
233,Contratto fornitura,Vorrei informazioni sulla promozione attiva Solo per curiosità.,Commerciale,bassa
234,Licenza scaduta,La webcam non viene riconosciuta dal sistema Senza fretta.,Tecnico,bassa
235,Aggiornamento fallito,Il mouse wireless non risponde Non è prioritario.,Tecnico,bassa
236,Catalogo prodotti,Vorrei ricevere il catalogo prodotti completo Grazie in anticipo.,Commerciale,media
237,Modifica ordine,Vorrei disdire il servizio attivo Senza fretta.,Commerciale,bassa
238,Malattia,Richiedo un permesso per visita medica Solo per avere informazioni.,Amministrazione,bassa
239,Richiesta TFR,Devo aggiornare il mio indirizzo di residenza Cordiali saluti.,Amministrazione,media
240,Informazioni prodotto,"L'articolo che cerco è disponibile in magazzino? È urgente, non riesco a lavorare.",Commerciale,alta
241,Detrazioni fiscali,Vorrei richiedere le ferie per il mese prossimo Cordiali saluti.,Amministrazione,media
242,Server non risponde,"Manca il driver della scheda video È urgente, non riesco a lavorare.",Tecnico,alta
243,File corrotto,Non riesco a collegare dispositivi Bluetooth Resto in attesa di risposta.,Tecnico,media
244,Attestato di servizio,Vorrei richiedere il congedo parentale Quando possibile.,Amministrazione,bassa
245,Email non arrivano,Il server aziendale non è raggiungibile Non è prioritario.,Tecnico,bassa
246,Annullamento ordine,Richiedo la sostituzione dell'articolo difettoso Grazie per l'assistenza.,Commerciale,media
247,Contratto fornitura,Vorrei ricevere un preventivo per i vostri servizi Ho bisogno di aiuto immediato.,Commerciale,alta
248,Lettera referenze,Ho bisogno di modificare le detrazioni fiscali Senza fretta.,Amministrazione,bassa
249,Malattia,Vorrei attivare lo smart working Cordiali saluti.,Amministrazione,media
250,Assistenza post-vendita,Devo modificare la quantità dell'ordine effettuato Solo per curiosità.,Commerciale,bassa
251,Disco pieno,L'applicazione si chiude inaspettatamente Attendo riscontro.,Tecnico,media
252,Reso merce,Siamo interessati a una partnership commerciale Solo per curiosità.,Commerciale,bassa
253,USB non riconosciuta,Impossibile navigare su internet Solo per curiosità.,Tecnico,bassa
254,Ordine in ritardo,Vorrei effettuare il reso della merce acquistata Solo per curiosità.,Commerciale,bassa
255,Software non funziona,"La webcam non viene riconosciuta dal sistema Sono fermo, non posso procedere.",Tecnico,alta
256,Garanzia prodotto,Il prodotto ricevuto presenta dei difetti Non è prioritario.,Commerciale,bassa
257,Reso merce,Vorrei disdire il servizio attivo Non è prioritario.,Commerciale,bassa
258,Sollecito pagamento,"Invio sollecito per il pagamento della fattura Non è urgente, quando avete tempo.",Commerciale,bassa
259,Informazioni prodotto,"Vorrei disdire il servizio attivo Situazione critica, sistema bloccato.",Commerciale,alta
260,Computer lento,L'aggiornamento del sistema operativo è fallito Resto in attesa di risposta.,Tecnico,media
261,Disdetta servizio,Vorrei verificare il credito residuo Fatemi sapere.,Commerciale,media
262,Rinnovo contratto,Richiedo informazioni sul congedo di maternità Cordiali saluti.,Amministrazione,media
263,Promozione attiva,Vorrei ricevere un preventivo per i vostri servizi Grazie per l'assistenza.,Commerciale,media
264,Connessione internet assente,"Il disco C: è quasi pieno Emergenza, serve intervento immediato.",Tecnico,alta
265,Detrazioni fiscali,Devo aggiornare la richiesta assegni familiari Solo per curiosità.,Amministrazione,bassa
266,Sollecito pagamento,"Vorrei effettuare il reso della merce acquistata Sono fermo, non posso procedere.",Commerciale,alta
267,Nota spese,Richiedo un anticipo sullo stipendio Ho bisogno di aiuto immediato.,Amministrazione,alta
268,VPN non funziona,Il computer impiega troppo tempo ad avviarsi È solo una domanda informativa.,Tecnico,bassa
269,Feedback servizio,Sono un nuovo cliente e vorrei registrarmi Solo per curiosità.,Commerciale,bassa
270,Detrazioni fiscali,Vorrei informazioni sulla liquidazione del TFR Problema grave che blocca tutto.,Amministrazione,alta
271,Contratto da firmare,Devo organizzare una trasferta di lavoro A vostra comodità.,Amministrazione,bassa
272,Variazione orario,Richiedo un permesso per visita medica Non è prioritario.,Amministrazione,bassa
273,Informazioni prodotto,Siamo interessati a una partnership commerciale Quando possibile.,Commerciale,bassa
274,Reso merce,"Ho bisogno di informazioni su un prodotto specifico Quando possibile, grazie.",Commerciale,media
275,Rinnovo contratto,Il cedolino presenta delle anomalie Quando possibile.,Amministrazione,bassa
276,Informazioni prodotto,La fattura ricevuta contiene degli errori Solo per curiosità.,Commerciale,bassa
277,Promozione attiva,Invio sollecito per il pagamento della fattura È bloccante per il mio lavoro.,Commerciale,alta
278,Licenza scaduta,La chiavetta USB non viene riconosciuta Attendo riscontro.,Tecnico,media
279,Variazione orario,"Ho bisogno di una lettera di referenze Situazione critica, sistema bloccato.",Amministrazione,alta
280,Reclamo prodotto,Ho bisogno di assistenza post-vendita Solo per avere informazioni.,Commerciale,bassa
281,Modifica anagrafica,Invio la nota spese del mese Quando possibile.,Amministrazione,bassa
282,Nuovo cliente,"Vorrei effettuare il reso della merce acquistata Sono fermo, non posso procedere.",Commerciale,alta
283,Garanzia prodotto,Vorrei discutere un contratto di fornitura Non è prioritario.,Commerciale,bassa
284,Backup fallito,Devo configurare la mia casella email Problema grave che blocca tutto.,Tecnico,alta
285,Certificato lavoro,Richiedo assistenza per il modello 730 Problema grave che blocca tutto.,Amministrazione,alta
