id,title,body,category,priority,full_text
30,Malattia,Vorrei attivare lo smart working Grazie in anticipo.,Amministrazione,media,malattia vorrei attivare lo smart working grazie in anticipo
31,Sostituzione articolo,Richiedo la sostituzione dell'articolo difettoso Solo per avere informazioni.,Commerciale,bassa,sostituzione articolo richiedo la sostituzione dell'articolo difettoso solo per avere informazioni
32,Password dimenticata,Il backup automatico non viene eseguito A vostra comodità.,Tecnico,bassa,password dimenticata il backup automatico non viene eseguito a vostra comodità
33,Attestato di servizio,"Vorrei presentare le dimissioni Quando possibile, grazie.",Amministrazione,media,attestato di servizio vorrei presentare le dimissioni quando possibile grazie
34,Pagamento effettuato,Il mio ordine è in ritardo rispetto alla data prevista Senza fretta.,Commerciale,bassa,pagamento effettuato il mio ordine è in ritardo rispetto alla data prevista senza fretta
35,Smart working,Ho bisogno di un certificato di lavoro per la banca Senza fretta.,Amministrazione,bassa,smart working ho bisogno di un certificato di lavoro per la banca senza fretta
36,Computer lento,Il sistema è molto lento per mancanza di RAM Senza fretta.,Tecnico,bassa,computer lento il sistema è molto lento per mancanza di ram senza fretta
37,Richiesta TFR,"Devo aggiornare il mio indirizzo di residenza Sono fermo, non posso procedere.",Amministrazione,alta,richiesta tfr devo aggiornare il mio indirizzo di residenza sono fermo non posso procedere
38,Catalogo prodotti,Vorrei informazioni sulla promozione attiva Resto in attesa di risposta.,Commerciale,media,catalogo prodotti vorrei informazioni sulla promozione attiva resto in attesa di risposta
39,Spedizione urgente,Vorrei discutere un contratto di fornitura Ho bisogno di aiuto immediato.,Commerciale,alta,spedizione urgente vorrei discutere un contratto di fornitura ho bisogno di aiuto immediato
40,Modifica anagrafica,"Ho ricevuto il contratto da firmare Non è urgente, quando avete tempo.",Amministrazione,bassa,modifica anagrafica ho ricevuto il contratto da firmare non è urgente quando avete tempo
41,Software da installare,Il sistema mostra un errore critico all'avvio Solo per avere informazioni.,Tecnico,bassa,software da installare il sistema mostra un errore critico all'avvio solo per avere informazioni
42,Connessione internet assente,Il disco C: è quasi pieno Attendo riscontro.,Tecnico,media,connessione internet assente il disco c è quasi pieno attendo riscontro
43,Configurazione email,Il sistema nega l'accesso ai file condivisi Fatemi sapere.,Tecnico,media,configurazione email il sistema nega l'accesso ai file condivisi fatemi sapere
44,Richiesta preventivo,Sono interessato a un upgrade del piano attuale Senza fretta.,Commerciale,bassa,richiesta preventivo sono interessato a un upgrade del piano attuale senza fretta
45,Disdetta servizio,Vorrei tracciare il mio ordine Grazie in anticipo.,Commerciale,media,disdetta servizio vorrei tracciare il mio ordine grazie in anticipo
46,Informazioni prodotto,Ci sono offerte speciali in corso? Resto in attesa di risposta.,Commerciale,media,informazioni prodotto ci sono offerte speciali in corso resto in attesa di risposta
47,Disco pieno,"Il PC si spegne improvvisamente senza motivo Situazione critica, sistema bloccato.",Tecnico,alta,disco pieno il pc si spegne improvvisamente senza motivo situazione critica sistema bloccato
48,Offerta speciale,Il prodotto ricevuto presenta dei difetti È bloccante per il mio lavoro.,Commerciale,alta,offerta speciale il prodotto ricevuto presenta dei difetti è bloccante per il mio lavoro
49,Virus rilevato,Lo schermo rimane nero dopo l'accensione Non è prioritario.,Tecnico,bassa,virus rilevato lo schermo rimane nero dopo l'accensione non è prioritario
50,Backup fallito,Le email inviate non arrivano a destinazione Senza fretta.,Tecnico,bassa,backup fallito le email inviate non arrivano a destinazione senza fretta
51,Modifica ordine,Vorrei informazioni sulla promozione attiva È bloccante per il mio lavoro.,Commerciale,alta,modifica ordine vorrei informazioni sulla promozione attiva è bloccante per il mio lavoro
52,Congedo parentale,"Vorrei attivare lo smart working Quando possibile, grazie.",Amministrazione,media,congedo parentale vorrei attivare lo smart working quando possibile grazie
53,Cambio IBAN,Ho ricevuto il contratto da firmare Problema grave che blocca tutto.,Amministrazione,alta,cambio iban ho ricevuto il contratto da firmare problema grave che blocca tutto
54,Spedizione urgente,Vorrei tracciare il mio ordine Attendo riscontro.,Commerciale,media,spedizione urgente vorrei tracciare il mio ordine attendo riscontro
55,Modifica ordine,Ho bisogno di una spedizione urgente A vostra comodità.,Commerciale,bassa,modifica ordine ho bisogno di una spedizione urgente a vostra comodità
56,Contratto fornitura,Vorrei ricevere un preventivo per i vostri servizi Solo per avere informazioni.,Commerciale,bassa,contratto fornitura vorrei ricevere un preventivo per i vostri servizi solo per avere informazioni
57,Stampante non stampa,"Non riesco a connettermi alla rete aziendale Sono fermo, non posso procedere.",Tecnico,alta,stampante non stampa non riesco a connettermi alla rete aziendale sono fermo non posso procedere
58,Richiesta campioni,"Siamo interessati a una partnership commerciale Emergenza, serve intervento immediato.",Commerciale,alta,richiesta campioni siamo interessati a una partnership commerciale emergenza serve intervento immediato
59,Smart working,"Devo comunicare il nuovo IBAN per l'accredito stipendio Situazione critica, sistema bloccato.",Amministrazione,alta,smart working devo comunicare il nuovo iban per l'accredito stipendio situazione critica sistema bloccato
60,Ordine in ritardo,Ho bisogno di informazioni su un prodotto specifico Grazie in anticipo.,Commerciale,media,ordine in ritardo ho bisogno di informazioni su un prodotto specifico grazie in anticipo
61,Fattura errata,"Vorrei ricevere un preventivo per i vostri servizi Non è urgente, quando avete tempo.",Commerciale,bassa,fattura errata vorrei ricevere un preventivo per i vostri servizi non è urgente quando avete tempo
62,Certificato lavoro,"Richiedo un anticipo sullo stipendio Non è urgente, quando avete tempo.",Amministrazione,bassa,certificato lavoro richiedo un anticipo sullo stipendio non è urgente quando avete tempo
63,Catalogo prodotti,Ci sono offerte speciali in corso? Grazie in anticipo.,Commerciale,media,catalogo prodotti ci sono offerte speciali in corso grazie in anticipo
64,VPN non funziona,Lo schermo rimane nero dopo l'accensione Cordiali saluti.,Tecnico,media,vpn non funziona lo schermo rimane nero dopo l'accensione cordiali saluti
65,Backup fallito,Non esce audio dalle casse del computer Non è prioritario.,Tecnico,bassa,backup fallito non esce audio dalle casse del computer non è prioritario
66,Reso merce,La fattura ricevuta contiene degli errori Grazie per l'assistenza.,Commerciale,media,reso merce la fattura ricevuta contiene degli errori grazie per l'assistenza
67,Partnership commerciale,Siamo interessati a una partnership commerciale Grazie in anticipo.,Commerciale,media,partnership commerciale siamo interessati a una partnership commerciale grazie in anticipo
68,Server non risponde,"Non esce audio dalle casse del computer Non è urgente, quando avete tempo.",Tecnico,bassa,server non risponde non esce audio dalle casse del computer non è urgente quando avete tempo
69,Richiesta ferie,Devo aggiornare la richiesta assegni familiari È solo una domanda informativa.,Amministrazione,bassa,richiesta ferie devo aggiornare la richiesta assegni familiari è solo una domanda informativa
70,Partnership commerciale,È possibile ricevere dei campioni gratuiti? Cordiali saluti.,Commerciale,media,partnership commerciale è possibile ricevere dei campioni gratuiti cordiali saluti
71,Software non funziona,"Le email inviate non arrivano a destinazione Urgentissimo, il cliente attende.",Tecnico,alta,software non funziona le email inviate non arrivano a destinazione urgentissimo il cliente attende
72,CUD mancante,"Non ho ricevuto la CUD di quest'anno Urgentissimo, il cliente attende.",Amministrazione,alta,cud mancante non ho ricevuto la cud di quest'anno urgentissimo il cliente attende
73,Computer lento,Il monitor presenta sfarfallii continui Ho bisogno di aiuto immediato.,Tecnico,alta,computer lento il monitor presenta sfarfallii continui ho bisogno di aiuto immediato
74,Richiesta campioni,"Sono un nuovo cliente e vorrei registrarmi Urgentissimo, il cliente attende.",Commerciale,alta,richiesta campioni sono un nuovo cliente e vorrei registrarmi urgentissimo il cliente attende
75,Cambio IBAN,"Richiedo un anticipo sullo stipendio Emergenza, serve intervento immediato.",Amministrazione,alta,cambio iban richiedo un anticipo sullo stipendio emergenza serve intervento immediato
76,Richiesta preventivo,È possibile ottenere uno sconto per grandi quantità? Solo per avere informazioni.,Commerciale,bassa,richiesta preventivo è possibile ottenere uno sconto per grandi quantità solo per avere informazioni
77,Connessione internet assente,L'applicazione si chiude inaspettatamente A vostra comodità.,Tecnico,bassa,connessione internet assente l'applicazione si chiude inaspettatamente a vostra comodità
78,Dimissioni,Non ho ricevuto la CUD di quest'anno Non è prioritario.,Amministrazione,bassa,dimissioni non ho ricevuto la cud di quest'anno non è prioritario
79,CUD mancante,"Devo richiedere il rimborso delle spese di viaggio Emergenza, serve intervento immediato.",Amministrazione,alta,cud mancante devo richiedere il rimborso delle spese di viaggio emergenza serve intervento immediato
80,Stampante non stampa,"Ho bisogno di installare un nuovo software Urgentissimo, il cliente attende.",Tecnico,alta,stampante non stampa ho bisogno di installare un nuovo software urgentissimo il cliente attende
81,Virus rilevato,Il computer impiega troppo tempo ad avviarsi Solo per curiosità.,Tecnico,bassa,virus rilevato il computer impiega troppo tempo ad avviarsi solo per curiosità
82,Assistenza post-vendita,Devo modificare la quantità dell'ordine effettuato Grazie in anticipo.,Commerciale,media,assistenza post-vendita devo modificare la quantità dell'ordine effettuato grazie in anticipo
83,Certificato lavoro,Vorrei informazioni sul prestito aziendale Non è prioritario.,Amministrazione,bassa,certificato lavoro vorrei informazioni sul prestito aziendale non è prioritario
84,Ordine in ritardo,Confermo di aver effettuato il pagamento Solo per avere informazioni.,Commerciale,bassa,ordine in ritardo confermo di aver effettuato il pagamento solo per avere informazioni
85,Dimissioni,Ho bisogno di modificare le detrazioni fiscali,Amministrazione,media,dimissioni ho bisogno di modificare le detrazioni fiscali
86,Reso merce,Il prodotto ricevuto presenta dei difetti Fatemi sapere.,Commerciale,media,reso merce il prodotto ricevuto presenta dei difetti fatemi sapere
87,Audio non funziona,"Il backup automatico non viene eseguito Situazione critica, sistema bloccato.",Tecnico,alta,audio non funziona il backup automatico non viene eseguito situazione critica sistema bloccato
88,Assistenza post-vendita,Devo modificare la quantità dell'ordine effettuato Fatemi sapere.,Commerciale,media,assistenza post-vendita devo modificare la quantità dell'ordine effettuato fatemi sapere
89,Fattura errata,Vorrei tracciare il mio ordine,Commerciale,media,fattura errata vorrei tracciare il mio ordine
90,Feedback servizio,Confermo di aver effettuato il pagamento Grazie in anticipo.,Commerciale,media,feedback servizio confermo di aver effettuato il pagamento grazie in anticipo
91,Driver mancante,"Il monitor presenta sfarfallii continui Urgentissimo, il cliente attende.",Tecnico,alta,driver mancante il monitor presenta sfarfallii continui urgentissimo il cliente attende
92,Software da installare,Alcuni tasti della tastiera non funzionano Grazie in anticipo.,Tecnico,media,software da installare alcuni tasti della tastiera non funzionano grazie in anticipo
93,Driver mancante,Il disco C: è quasi pieno A vostra comodità.,Tecnico,bassa,driver mancante il disco c è quasi pieno a vostra comodità
94,Software da installare,Il mouse wireless non risponde Cordiali saluti.,Tecnico,media,software da installare il mouse wireless non risponde cordiali saluti
95,Errore contributi,Vorrei presentare le dimissioni È solo una domanda informativa.,Amministrazione,bassa,errore contributi vorrei presentare le dimissioni è solo una domanda informativa
96,Promozione attiva,Vorrei lasciare un feedback sul servizio ricevuto Quando possibile.,Commerciale,bassa,promozione attiva vorrei lasciare un feedback sul servizio ricevuto quando possibile
97,Richiesta campioni,Il prodotto ricevuto presenta dei difetti Resto in attesa di risposta.,Commerciale,media,richiesta campioni il prodotto ricevuto presenta dei difetti resto in attesa di risposta
98,RAM insufficiente,Il mouse wireless non risponde Cordiali saluti.,Tecnico,media,ram insufficiente il mouse wireless non risponde cordiali saluti
99,Busta paga errata,"Vorrei richiedere il congedo parentale Emergenza, serve intervento immediato.",Amministrazione,alta,busta paga errata vorrei richiedere il congedo parentale emergenza serve intervento immediato
100,Licenza scaduta,"Il sistema nega l'accesso ai file condivisi Sono fermo, non posso procedere.",Tecnico,alta,licenza scaduta il sistema nega l'accesso ai file condivisi sono fermo non posso procedere
101,Software non funziona,Il sistema è molto lento per mancanza di RAM Solo per avere informazioni.,Tecnico,bassa,software non funziona il sistema è molto lento per mancanza di ram solo per avere informazioni
102,Promozione attiva,Ci sono offerte speciali in corso?,Commerciale,media,promozione attiva ci sono offerte speciali in corso
103,Problema di rete,La connessione VPN si disconnette continuamente Problema grave che blocca tutto.,Tecnico,alta,problema di rete la connessione vpn si disconnette continuamente problema grave che blocca tutto
104,Richiesta ferie,Richiedo un permesso per visita medica Cordiali saluti.,Amministrazione,media,richiesta ferie richiedo un permesso per visita medica cordiali saluti
105,Modifica anagrafica,I contributi versati risultano errati È solo una domanda informativa.,Amministrazione,bassa,modifica anagrafica i contributi versati risultano errati è solo una domanda informativa
106,PC si spegne da solo,L'antivirus ha rilevato una minaccia,Tecnico,media,pc si spegne da solo l'antivirus ha rilevato una minaccia
107,Promozione attiva,Devo modificare la quantità dell'ordine effettuato Solo per curiosità.,Commerciale,bassa,promozione attiva devo modificare la quantità dell'ordine effettuato solo per curiosità
108,Rimborso spese,Il cedolino presenta delle anomalie Senza fretta.,Amministrazione,bassa,rimborso spese il cedolino presenta delle anomalie senza fretta
109,Reso merce,Sono un nuovo cliente e vorrei registrarmi Ho bisogno di aiuto immediato.,Commerciale,alta,reso merce sono un nuovo cliente e vorrei registrarmi ho bisogno di aiuto immediato
110,Software da installare,La stampante non risponde ai comandi di stampa Fatemi sapere.,Tecnico,media,software da installare la stampante non risponde ai comandi di stampa fatemi sapere
111,Straordinari non pagati,Il cedolino presenta delle anomalie È bloccante per il mio lavoro.,Amministrazione,alta,straordinari non pagati il cedolino presenta delle anomalie è bloccante per il mio lavoro
112,Cambio IBAN,"Richiedo assistenza per il modello 730 Situazione critica, sistema bloccato.",Amministrazione,alta,cambio iban richiedo assistenza per il modello 730 situazione critica sistema bloccato
113,Nota spese,Richiedo informazioni sul congedo di maternità Cordiali saluti.,Amministrazione,media,nota spese richiedo informazioni sul congedo di maternità cordiali saluti
114,Trasferta,Richiedo un cambio di mansione Senza fretta.,Amministrazione,bassa,trasferta richiedo un cambio di mansione senza fretta
115,Email non arrivano,Devo configurare la mia casella email A vostra comodità.,Tecnico,bassa,email non arrivano devo configurare la mia casella email a vostra comodità
116,Richiesta campioni,È possibile ricevere dei campioni gratuiti? È bloccante per il mio lavoro.,Commerciale,alta,richiesta campioni è possibile ricevere dei campioni gratuiti è bloccante per il mio lavoro
117,Richiesta TFR,"Vorrei informazioni sulla liquidazione del TFR Situazione critica, sistema bloccato.",Amministrazione,alta,richiesta tfr vorrei informazioni sulla liquidazione del tfr situazione critica sistema bloccato
118,Partnership commerciale,Invio sollecito per il pagamento della fattura,Commerciale,media,partnership commerciale invio sollecito per il pagamento della fattura
119,RAM insufficiente,"Devo configurare la mia casella email Sono fermo, non posso procedere.",Tecnico,alta,ram insufficiente devo configurare la mia casella email sono fermo non posso procedere
120,Pagamento effettuato,"Ho bisogno di una spedizione urgente Urgentissimo, il cliente attende.",Commerciale,alta,pagamento effettuato ho bisogno di una spedizione urgente urgentissimo il cliente attende
121,Rinnovo abbonamento,Devo modificare la quantità dell'ordine effettuato Cordiali saluti.,Commerciale,media,rinnovo abbonamento devo modificare la quantità dell'ordine effettuato cordiali saluti
122,Tastiera bloccata,Le email inviate non arrivano a destinazione Resto in attesa di risposta.,Tecnico,media,tastiera bloccata le email inviate non arrivano a destinazione resto in attesa di risposta
123,Credito cliente,"Vorrei discutere un contratto di fornitura È urgente, non riesco a lavorare.",Commerciale,alta,credito cliente vorrei discutere un contratto di fornitura è urgente non riesco a lavorare
124,Aggiornamento fallito,La licenza del software è scaduta Senza fretta.,Tecnico,bassa,aggiornamento fallito la licenza del software è scaduta senza fretta
125,Stampante non stampa,"Il sistema nega l'accesso ai file condivisi Emergenza, serve intervento immediato.",Tecnico,alta,stampante non stampa il sistema nega l'accesso ai file condivisi emergenza serve intervento immediato
126,Straordinari non pagati,Devo aggiornare il mio indirizzo di residenza A vostra comodità.,Amministrazione,bassa,straordinari non pagati devo aggiornare il mio indirizzo di residenza a vostra comodità
127,Server non risponde,L'aggiornamento del sistema operativo è fallito Solo per avere informazioni.,Tecnico,bassa,server non risponde l'aggiornamento del sistema operativo è fallito solo per avere informazioni
128,Listino prezzi,Richiedo la sostituzione dell'articolo difettoso Non è prioritario.,Commerciale,bassa,listino prezzi richiedo la sostituzione dell'articolo difettoso non è prioritario
129,Straordinari non pagati,Ho notato un errore nell'importo della busta paga Solo per avere informazioni.,Amministrazione,bassa,straordinari non pagati ho notato un errore nell'importo della busta paga solo per avere informazioni
130,Malattia,Gli straordinari del mese scorso non sono stati pagati Attendo riscontro.,Amministrazione,media,malattia gli straordinari del mese scorso non sono stati pagati attendo riscontro
131,Webcam non rilevata,Non esce audio dalle casse del computer A vostra comodità.,Tecnico,bassa,webcam non rilevata non esce audio dalle casse del computer a vostra comodità
132,Attestato di servizio,"Vorrei richiedere le ferie per il mese prossimo Sono fermo, non posso procedere.",Amministrazione,alta,attestato di servizio vorrei richiedere le ferie per il mese prossimo sono fermo non posso procedere
133,Backup fallito,Il mouse wireless non risponde Grazie in anticipo.,Tecnico,media,backup fallito il mouse wireless non risponde grazie in anticipo
134,Connessione internet assente,"Il disco C: è quasi pieno È urgente, non riesco a lavorare.",Tecnico,alta,connessione internet assente il disco c è quasi pieno è urgente non riesco a lavorare
135,Lettera referenze,Devo comunicare un periodo di malattia Solo per avere informazioni.,Amministrazione,bassa,lettera referenze devo comunicare un periodo di malattia solo per avere informazioni
136,Software non funziona,Impossibile navigare su internet Cordiali saluti.,Tecnico,media,software non funziona impossibile navigare su internet cordiali saluti
137,Variazione orario,Vorrei informazioni sul prestito aziendale Problema grave che blocca tutto.,Amministrazione,alta,variazione orario vorrei informazioni sul prestito aziendale problema grave che blocca tutto
138,Rinnovo contratto,Il cedolino presenta delle anomalie Attendo riscontro.,Amministrazione,media,rinnovo contratto il cedolino presenta delle anomalie attendo riscontro
139,Stampante non stampa,Non ricordo la password del mio account Attendo riscontro.,Tecnico,media,stampante non stampa non ricordo la password del mio account attendo riscontro
140,Catalogo prodotti,"Devo rinnovare il mio abbonamento Situazione critica, sistema bloccato.",Commerciale,alta,catalogo prodotti devo rinnovare il mio abbonamento situazione critica sistema bloccato
141,Cambio mansione,Il mio contratto è in scadenza Quando possibile.,Amministrazione,bassa,cambio mansione il mio contratto è in scadenza quando possibile
142,Informazioni prodotto,"Vorrei verificare il credito residuo È urgente, non riesco a lavorare.",Commerciale,alta,informazioni prodotto vorrei verificare il credito residuo è urgente non riesco a lavorare
143,Richiesta TFR,Richiedo un anticipo sullo stipendio Senza fretta.,Amministrazione,bassa,richiesta tfr richiedo un anticipo sullo stipendio senza fretta
144,Computer lento,"Alcuni tasti della tastiera non funzionano Urgentissimo, il cliente attende.",Tecnico,alta,computer lento alcuni tasti della tastiera non funzionano urgentissimo il cliente attende
145,Fattura errata,"Vorrei lasciare un feedback sul servizio ricevuto Sono fermo, non posso procedere.",Commerciale,alta,fattura errata vorrei lasciare un feedback sul servizio ricevuto sono fermo non posso procedere
146,Rinnovo abbonamento,Il prodotto è ancora in garanzia? Cordiali saluti.,Commerciale,media,rinnovo abbonamento il prodotto è ancora in garanzia cordiali saluti
147,Connessione internet assente,La chiavetta USB non viene riconosciuta È bloccante per il mio lavoro.,Tecnico,alta,connessione internet assente la chiavetta usb non viene riconosciuta è bloccante per il mio lavoro
148,VPN non funziona,Manca il driver della scheda video Cordiali saluti.,Tecnico,media,vpn non funziona manca il driver della scheda video cordiali saluti
149,Upgrade piano,Il prodotto è ancora in garanzia? Resto in attesa di risposta.,Commerciale,media,upgrade piano il prodotto è ancora in garanzia resto in attesa di risposta
150,Assistenza post-vendita,Ho bisogno di informazioni su un prodotto specifico Cordiali saluti.,Commerciale,media,assistenza post-vendita ho bisogno di informazioni su un prodotto specifico cordiali saluti
151,Errore contributi,Richiedo informazioni sul congedo di maternità Fatemi sapere.,Amministrazione,media,errore contributi richiedo informazioni sul congedo di maternità fatemi sapere
152,Busta paga errata,"Devo organizzare una trasferta di lavoro Emergenza, serve intervento immediato.",Amministrazione,alta,busta paga errata devo organizzare una trasferta di lavoro emergenza serve intervento immediato
153,Modifica ordine,"Il mio ordine è in ritardo rispetto alla data prevista Urgentissimo, il cliente attende.",Commerciale,alta,modifica ordine il mio ordine è in ritardo rispetto alla data prevista urgentissimo il cliente attende
154,Dimissioni,Vorrei richiedere le ferie per il mese prossimo Grazie per l'assistenza.,Amministrazione,media,dimissioni vorrei richiedere le ferie per il mese prossimo grazie per l'assistenza
155,Feedback servizio,Vorrei ricevere il catalogo prodotti completo Fatemi sapere.,Commerciale,media,feedback servizio vorrei ricevere il catalogo prodotti completo fatemi sapere
156,Ordine in ritardo,Vorrei informazioni sulla promozione attiva A vostra comodità.,Commerciale,bassa,ordine in ritardo vorrei informazioni sulla promozione attiva a vostra comodità
157,Rinnovo contratto,Vorrei attivare lo smart working Senza fretta.,Amministrazione,bassa,rinnovo contratto vorrei attivare lo smart working senza fretta
158,Disdetta servizio,Vorrei lasciare un feedback sul servizio ricevuto Grazie per l'assistenza.,Commerciale,media,disdetta servizio vorrei lasciare un feedback sul servizio ricevuto grazie per l'assistenza
159,Errore di sistema,Il backup automatico non viene eseguito Non è prioritario.,Tecnico,bassa,errore di sistema il backup automatico non viene eseguito non è prioritario
160,Reclamo prodotto,Ci sono offerte speciali in corso? Senza fretta.,Commerciale,bassa,reclamo prodotto ci sono offerte speciali in corso senza fretta
161,Listino prezzi,Vorrei ricevere il catalogo prodotti completo,Commerciale,media,listino prezzi vorrei ricevere il catalogo prodotti completo
162,Mouse non funziona,Le email inviate non arrivano a destinazione Fatemi sapere.,Tecnico,media,mouse non funziona le email inviate non arrivano a destinazione fatemi sapere
163,Dimissioni,Vorrei presentare le dimissioni Grazie in anticipo.,Amministrazione,media,dimissioni vorrei presentare le dimissioni grazie in anticipo
164,Mouse non funziona,"Il sistema nega l'accesso ai file condivisi Urgentissimo, il cliente attende.",Tecnico,alta,mouse non funziona il sistema nega l'accesso ai file condivisi urgentissimo il cliente attende
165,Dimissioni,Devo comunicare il nuovo IBAN per l'accredito stipendio Senza fretta.,Amministrazione,bassa,dimissioni devo comunicare il nuovo iban per l'accredito stipendio senza fretta
166,Contratto da firmare,Ho bisogno di modificare le detrazioni fiscali Problema grave che blocca tutto.,Amministrazione,alta,contratto da firmare ho bisogno di modificare le detrazioni fiscali problema grave che blocca tutto
167,Richiesta permesso,Ho bisogno di un attestato di servizio Solo per avere informazioni.,Amministrazione,bassa,richiesta permesso ho bisogno di un attestato di servizio solo per avere informazioni
168,RAM insufficiente,"L'applicazione si chiude inaspettatamente Urgentissimo, il cliente attende.",Tecnico,alta,ram insufficiente l'applicazione si chiude inaspettatamente urgentissimo il cliente attende
169,Listino prezzi,Vorrei annullare l'ordine numero 12345 Solo per avere informazioni.,Commerciale,bassa,listino prezzi vorrei annullare l'ordine numero 12345 solo per avere informazioni
170,Rinnovo abbonamento,Vorrei discutere un contratto di fornitura Senza fretta.,Commerciale,bassa,rinnovo abbonamento vorrei discutere un contratto di fornitura senza fretta
171,Cambio IBAN,Vorrei informazioni sulla liquidazione del TFR Senza fretta.,Amministrazione,bassa,cambio iban vorrei informazioni sulla liquidazione del tfr senza fretta
