id,title,body,category,priority,full_text
107,DISPONIBILITÀ,MA É POSSIBILE CHE DEVO FARE UN ORDINE MA HO BISOGNO DELL'APPROVAZIONE DEL BUDGET PRETENDO UNA RISOPSTA OGGI!,Commerciale,bassa,disponibilità ma é possibile che devo fare un ordine ma ho bisogno dell'approvazione del budget pretendo una risopsta oggi
108,stampa,outlook n si apre,Tecnico,bassa,stampa outlook n si apre
109,password,"Spett.le ufficio, il gestionale fatture si blocca sempre quando apro le fatture Distinti saluti. dobbiamo consegnare",Tecnico,alta,password spett le ufficio il gestionale fatture si blocca sempre quando apro le fatture distinti saluti dobbiamo consegnare
110,cedolino,"Con la presente anticipo stipendio In attesa di Vs. risposta, cordialmente. il cliente aspetta",Amministrazione,alta,cedolino con la presente anticipo stipendio in attesa di vs risposta cordialmente il cliente aspetta
111,ufficio personale,congedo parentale boh fatemi sapere,Amministrazione,media,ufficio personale congedo parentale boh fatemi sapere
112,smart working,"Gentilissimi, la fattura del fornitore non quadra con le mie note spese Ringraziando anticipatamente, porgo cordiali saluti.",Amministrazione,bassa,smart working gentilissimi la fattura del fornitore non quadra con le mie note spese ringraziando anticipatamente porgo cordiali saluti
113,bloccato,"Buongiorno, non riesco a stampare Distinti saluti.",Tecnico,alta,bloccato buongiorno non riesco a stampare distinti saluti
114,errore sistema,"Con la presente la password non funziona più Ringraziando anticipatamente, porgo cordiali saluti. presentazione tra poco",Tecnico,alta,errore sistema con la presente la password non funziona più ringraziando anticipatamente porgo cordiali saluti presentazione tra poco
115,busta paga,contratto scade urgentissimo,Amministrazione,alta,busta paga contratto scade urgentissimo
116,internet,Ancora?? word n salva i file È la terza volta che lo segnalo!! pensavo ke forse,Tecnico,bassa,internet ancora word n salva i file è la terza volta che lo segnalo pensavo ke forse
117,ferie,richiesta smart working ...non ricordo bene,Amministrazione,media,ferie richiesta smart working non ricordo bene
118,fattura,Buongiorno sono un nuovo cliente ok?,Commerciale,media,fattura buongiorno sono un nuovo cliente ok
119,ERRORE SISTEMA,pc è lentissimo grazie,Tecnico,media,errore sistema pc è lentissimo grazie
120,permesso,contratto scade bloccato completamente,Amministrazione,alta,permesso contratto scade bloccato completamente
121,ufficio personale,Ehi devo fare il rimborso spese grz devo risolvere oggi,Amministrazione,alta,ufficio personale ehi devo fare il rimborso spese grz devo risolvere oggi
122,sconto,upgrade del piano e aggiungo che un mio collega ha lo stesso identico problema,Commerciale,bassa,sconto upgrade del piano e aggiungo che un mio collega ha lo stesso identico problema
123,ufficio personale,Salve devo scaricare la cud ma il sito non funziona ok? quando potete,Amministrazione,bassa,ufficio personale salve devo scaricare la cud ma il sito non funziona ok quando potete
124,password,"Ciao, il programma si blocca sempre thx solo per sapere",Tecnico,bassa,password ciao il programma si blocca sempre thx solo per sapere
125,ordine,NON E ACCETTABILE CHE IL PRODOTTO È DIFETTOSO É LA TERZA VOLTA KE LO SEGNALO!! QND POTETE,Commerciale,media,ordine non e accettabile che il prodotto è difettoso é la terza volta ke lo segnalo qnd potete
126,DOCUMENTO,"Gentilissimi, info sul tfr Ringraziando anticipatamente, porgo cordiali saluti. quando potete",Amministrazione,bassa,documento gentilissimi info sul tfr ringraziando anticipatamente porgo cordiali saluti quando potete
127,ferie,Buongiorno lettera di referenze grazie! quando potete,Amministrazione,media,ferie buongiorno lettera di referenze grazie quando potete
128,offerta,"Gentilissimi, assistenza post vendita graz per la collaborazione. serve subito",Commerciale,alta,offerta gentilissimi assistenza post vendita graz per la collaborazione serve subito
129,rimborso,vorrei chiedere ferie,Amministrazione,bassa,rimborso vorrei chiedere ferie
130,supporto,non riesco ad accedere al portale vedere busta paga,Tecnico,bassa,supporto non riesco ad accedere al portale vedere busta paga
131,pc rotto,"Spett.le ufficio, l'audio non si sente Resto in attesa di un cortese riscontro.",Tecnico,media,pc rotto spett le ufficio l'audio non si sente resto in attesa di un cortese riscontro
132,730,VORREI CHIEDERE LE FERIE INOLTRE VI FACCIO PRESENTE CHE QUESTA SITUAZIONE VA AVANTI DA SETTIMANE NON C'È FRETTA,Amministrazione,bassa,730 vorrei chiedere le ferie inoltre vi faccio presente che questa situazione va avanti da settimane non c'è fretta
133,non funziona,devo scaricare la cud ma il sito non funziona ok?,Amministrazione,media,non funziona devo scaricare la cud ma il sito non funziona ok
134,SPEDIZIONE,voglio annullare l'ordine i clienti chiamano,Commerciale,alta,spedizione voglio annullare l'ordine i clienti chiamano
135,straordinari,devo fare una trasferta comunque sia vi chiedo di intervenire il prima possibile se potete devo partire,Amministrazione,alta,straordinari devo fare una trasferta comunque sia vi chiedo di intervenire il prima possibile se potete devo partire
136,documento,DOCUMENTI PER LA  NON SO SE MI SPIEGO  BANCA BOH,Amministrazione,media,documento documenti per la non so se mi spiego banca boh
137,stampa,excel si chiude da solo thx,Tecnico,media,stampa excel si chiude da solo thx
138,NON VA,ho preso un  nel senso  virus ...non ricordo bene,Tecnico,media,non va ho preso un nel senso virus non ricordo bene
139,supporto,Vi scrivo per devo parlare con hr Resto in attesa di un cortese riscontro. già che ci siete,Amministrazione,bassa,supporto vi scrivo per devo parlare con hr resto in attesa di un cortese riscontro già che ci siete
140,guasto,upgrade del piano e volevo anche dire che ho già provato di tutto ma non funziona niente è urgenete,Commerciale,alta,guasto upgrade del piano e volevo anche dire che ho già provato di tutto ma non funziona niente è urgenete
141,rete,Ehi nn ho più spazio sul disco ciao,Tecnico,alta,rete ehi nn ho più spazio sul disco ciao
142,malattia,informazioni sul tfr perché come sapete è già da un po' che ho questo problema e non so più cosa fare il cliente aspetta,Amministrazione,alta,malattia informazioni sul tfr perché come sapete è già da un po' che ho questo problema e non so più cosa fare il cliente aspetta
143,malattia,"Desidero segnalare che vorrei chiedere le ferie In attesa di Vs. risposta, cordialmente. stiamo perdendo tempo",Amministrazione,alta,malattia desidero segnalare che vorrei chiedere le ferie in attesa di vs risposta cordialmente stiamo perdendo tempo
144,reclamo,fattura e' sbagliata,Commerciale,media,reclamo fattura e' sbagliata
145,virus?,"non mi arrivano le mail dei clienti, controllate grazie! devo risolvere oggi",Tecnico,alta,virus non mi arrivano le mail dei clienti controllate grazie devo risolvere oggi
146,importante,devo fare trasferta non è urgenete,Amministrazione,bassa,importante devo fare trasferta non è urgenete
147,fattura,voglio annullare l'ordine o qualcosa del genere,Commerciale,media,fattura voglio annullare l'ordine o qualcosa del genere
148,errore,la stampante insomma non stampa o qualcosa del genere???,Tecnico,media,errore la stampante insomma non stampa o qualcosa del genere
149,hr,assegni familiari riunione importante,Amministrazione,alta,hr assegni familiari riunione importante
150,aiuto,Ehi non riesco a stampare ciao???,Tecnico,media,aiuto ehi non riesco a stampare ciao
151,reso,il prodotto è difettoso inoltre vi faccio presente che questa situazione va avanti da settimane quando potete,Commerciale,bassa,reso il prodotto è difettoso inoltre vi faccio presente che questa situazione va avanti da settimane quando potete
152,bloccato,il monitor n si diciamo che accende mah deadline domani,Tecnico,alta,bloccato il monitor n si diciamo che accende mah deadline domani
153,730,devo comunicare  praticamente  la malattia (o forse era un'altra cosa?),Amministrazione,media,730 devo comunicare praticamente la malattia o forse era un'altra cosa
154,Re: Re:,Ancora?? la webcam non funziona Voglio parlrae con un responsabile! solo x sapere,Tecnico,bassa,re re ancora la webcam non funziona voglio parlrae con un responsabile solo x sapere
155,non funziona,sono un nuovo cliente comunque sia vi chiedo di intervenire il pprima possibilr se potete siamo in ritardo,Commerciale,alta,non funziona sono un nuovo cliente comunque sia vi chiedo di intervenire il pprima possibilr se potete siamo in ritardo
156,leggere,mi serve certificato lavoro,Amministrazione,media,leggere mi serve certificato lavoro
157,SCONTO,"MA É POSIBILE CHE NN RIESCO A FARE L'ORDINE ONLINE, IL SITO DA ERRORE N E' POSSIBILIE ANDARE AVANTI COSÌ",Commerciale,media,sconto ma é posibile che nn riesco a fare l'ordine online il sito da errore n e' possibilie andare avanti così
158,permesso,PER L'ENNESIMA VOLTA: CONGEDO PARENTALE INACCETTABILE!!!,Amministrazione,media,permesso per l'ennesima volta congedo parentale inaccettabile
159,smart working,mi serve un certificato di lavoro grazie! una cosina veloce: non riesco più ad accedere a nulla,Amministrazione,media,smart working mi serve un certificato di lavoro grazie una cosina veloce non riesco più ad accedere a nulla
160,guasto,"Buongiorno non mi arrivano le mail dei clienti, controllate grz!!!",Tecnico,bassa,guasto buongiorno non mi arrivano le mail dei clienti controllate grz
161,rotto,pc è lentissimo,Tecnico,media,rotto pc è lentissimo
162,hr,contributi sono sbagliati grazie,Amministrazione,media,hr contributi sono sbagliati grazie
163,non funziona,Non è accettabile che non vedo le cartelle condivise Pretendo una risposta OGGI! RIUNIONE IMPORTANTE,Tecnico,alta,non funziona non è accettabile che non vedo le cartelle condivise pretendo una risposta oggi riunione importante
164,reso,NON È ACCETTABILE CHE ASSISTENZA POST VENDITA INACCETTABILE!!! SERVE SUBITO,Commerciale,alta,reso non è accettabile che assistenza post vendita inaccettabile serve subito
165,ASSISTENZA,Non è accettabile che devo fare un ordine ma ho bisogno dell'approvazione del budget Npn è possibile andare avanti così,Commerciale,media,assistenza non è accettabile che devo fare un ordine ma ho bisogno dell'approvazione del budget npn è possibile andare avanti così
166,ROTTO,Desidero segnalare che il wifi non prende Grazie per la collaborazione. aspetto risposta,Tecnico,media,rotto desidero segnalare che il wifi non prende grazie per la collaborazione aspetto risposta
167,Re: Re:,"Vi scrivo per devo fare il rimborso spese In attesa di Vs. risposta, cordialmente. devo partire",Amministrazione,alta,re re vi scrivo per devo fare il rimborso spese in attesa di vs risposta cordialmente devo partire
168,computer,mail non parte grazie,Tecnico,media,computer mail non parte grazie
169,offerta,"Spett.le ufficio, feedback sul servizio Grazie per la collaborazione. con calma",Commerciale,bassa,offerta spett le ufficio feedback sul servizio grazie per la collaborazione con calma
170,guasto,Vi scrivo per il pc non funziona e n riesco a mandare l'ordine né a timbrare le ferie Grazie per la collaborazione.,Tecnico,bassa,guasto vi scrivo per il pc non funziona e n riesco a mandare l'ordine né a timbrare le ferie grazie per la collaborazione
171,LEGGERE,devo fare una praticamente trasferta (o forse era un'altra cosa?) già che ci siete,Amministrazione,bassa,leggere devo fare una praticamente trasferta o forse era un'altra cosa già che ci siete
172,ticket,PER L'ENNESIMA VOLTA: IL PRODOTTO È IN GARANZIA? NON È POSSIBILE ANDARE AVANTI COSÌ!,Commerciale,media,ticket per l'ennesima volta il prodotto è in garanzia non è possibile andare avanti così
173,permesso,voglio dare dimissioni,Amministrazione,bassa,permesso voglio dare dimissioni
174,permesso,fattura del fornitore non quadra mie note spese,Amministrazione,bassa,permesso fattura del fornitore non quadra mie note spese
175,cliente,mi serve il listino prezzi e aggiungo che un mio collega ha lo stesso identico problema bloccato completamente,Commerciale,alta,cliente mi serve il listino prezzi e aggiungo che un mio collega ha lo stesso identico problema bloccato completamente
176,ufficio personale,Ehi i contributi sono sbagliati ciao serve subito,Amministrazione,alta,ufficio personale ehi i contributi sono sbagliati ciao serve subito
177,richiesta,richiesta smart working thx,Amministrazione,bassa,richiesta richiesta smart working thx
178,ticket,anticipo stipendio aspetto risposta,Amministrazione,media,ticket anticipo stipendio aspetto risposta
179,disponibilità,"Gentilissimi, il prodotto è difettoso Resto in attesa di un cortese riscontro. niente di grave",Commerciale,bassa,disponibilità gentilissimi il prodotto è difettoso resto in attesa di un cortese riscontro niente di grave
