id,title,body,category,priority
64,URGENTE,"BASTA! LA MAIL PER LE NOTE SPESE NON PARTE, COME FACCIO NON È POSSIBILE ANDARE AVANTI COSÌ!",Amministrazione,media
65,pagamento,Con la presente il prodotto è difettoso Resto in attesa di un cortese riscontro.,Commerciale,media
66,CATALOGO,NON E ACCETTABILE CHE CONTRATTO DI FORNITURA PRETENDO UNA RISPOSTA OGGI! DEVO RISOLVERE OGGI,Commerciale,alta
67,disponibilità,sollecito pagamento devo partire,Commerciale,alta
68,guasto,devo firmare  insomma  il contratto o qualcosa del genere fatemi sapere,Amministrazione,media
69,vpn,la password non funziona più thx,Tecnico,media
70,disponibilità,"non riesco come dire a fare l'ordine online, il sito da errore (o forse era un'altra cosa?)",Commerciale,media
71,virus?,il mouse non risponde inoltre vi faccio presente ch questa situazione va avanti da settimane dobbiamo consegnare,Tecnico,alta
72,richiesta,devo fare come dire una trasferta o qualcosa del genere devo partire,Amministrazione,alta
73,cliente,sollecito pagamento e volevo anche dire che ho già provato di tutto ma non funziona niente con calma,Commerciale,bassa
74,ticket,Ehi la stampante non stampa ciao non posso lavorare,Tecnico,alta
75,assistenza,cambio mansione inoltre vi faccio presente ke questa situazione va avanti da settimane quando potete,Amministrazione,media
76,importante,la webcam  come dire  non funziona ...non ricordo bene era solo un'idea,Tecnico,bassa
77,non funziona,Gentilissimi cambio mansione Ringraziando anticipatamente porgo cordiali saluti. non c'è fretta,Amministrazione,bassa
78,ordine,feedback sul servizio ...non ricordo bene,Commerciale,media
79,prodotto,spedizione urgente,Commerciale,media
80,(NESSUN OGGETTO),la webcam non nsl senso funziona o qualcosa del genere è un'emergenza,Tecnico,alta
81,CATALOGO,BASTA! VORREI UN PREVENTIVO INACCETTABILE!!! DOBBIAMO CONSEGNARE,Commerciale,alta
82,Re: Re:,Desidero segnalare che il computer si spegne da solo Distinti saluti. è un'emergenza,Tecnico,alta
83,assistenza,non vedo le cartelle  come dire  condivise (o forse era un'altra cosa?),Tecnico,media
84,permesso,devo parlare con hr inoltre vi faccio presente che questa situazione va avanti da settimane n è urgente,Amministrazione,bassa
85,mail,non ho più spazio sul disco xché come sapete è già da un po' che ho qsto problema e non so più cosa fare,Tecnico,bassa
86,reclamo,DESIDERO SEGNALARE CHE FEEDBACK SUL SERVIZIO RESTO IN ATTESA DI UN CORTESE RISCONTRO. SERVE SUBITO,Commerciale,alta
87,straordinari,"Vi scrivo per vorrei chiedere le ferie Ringraziando anticipatamente, porgo cordiali saluti. aspetto risposta",Amministrazione,media
88,ERRORE,ANCORA?? IL WIFI NON PRENDE INACCETTABILE!!!,Tecnico,media
89,catalogo,prodotto é difettoso,Commerciale,media
90,BUSTA PAGA,ANCORA?? MI SERVE LA CUD NON È POSSIBILE ANDARE AVANTI COSÌ! RIUNIONE IMPORTANTE,Amministrazione,alta
91,importante,Non è accettabile che ci sono offerte Non è possibile andare avanti così! era solo un'idea,Commerciale,bassa
92,730,"Vi scrivo per congedo parentale Ringraziando anticipatamente, porgo cordiali saluti.",Amministrazione,media
93,pagamento,ci sono offerte e volevo anche dire che ho già provato di tutto ma non funziona niente devo risolvere oggi,Commerciale,alta
94,pc rotto,non mi cioè fa entrare nel sistema o qualcosa del genere presentazione tra poco,Tecnico,alta
95,documento,documenti per la  non so se mi spiego  banca mah se avete tempo,Amministrazione,bassa
96,Fwd:,mi serve cud serve subito,Amministrazione,alta
97,malattia,cambio mansione inoltre vi faccio presente che questa situazione va avanti da settimane pensavo che forse,Amministrazione,bassa
98,ordine,"ciao, spedizione urgente ciao",Commerciale,media
99,ufficio personale,Buongiorno congedo parentale grz era solo un'idea,Amministrazione,bassa
100,vpn,il computer si spegne da  più o meno  solo mah,Tecnico,media
101,supporto,Ancora?? aiuto con il 730 Non è possibile andare avanti così! dobbiamo consegnare,Amministrazione,alta
102,cliente,Salve dov'è il mio ordine,Commerciale,media
103,(nessun oggetto),Per l'ennesima volta: il monitor non si accende È la terza volta che lo segnalo!!,Tecnico,media
104,cedolino,documenti banca con calma,Amministrazione,bassa
105,RICHIESTA,n é accettabile che cambio mansione Pretendo una risposta OGGI!!!,Amministrazione,media
106,internet,"Desidero segnalare che lo schermo sfarfalla In attesa di bs. risposta, cordialmente. grazie",Tecnico,media
107,DISPONIBILITÀ,MA É POSSIBILE CHE DEVO FARE UN ORDINE MA HO BISOGNO DELL'APPROVAZIONE DEL BUDGET PRETENDO UNA RISOPSTA OGGI!,Commerciale,bassa
108,stampa,outlook n si apre,Tecnico,bassa
109,password,"Spett.le ufficio, il gestionale fatture si blocca sempre quando apro le fatture Distinti saluti. dobbiamo consegnare",Tecnico,alta
110,cedolino,"Con la presente anticipo stipendio In attesa di Vs. risposta, cordialmente. il cliente aspetta",Amministrazione,alta
111,ufficio personale,congedo parentale boh fatemi sapere,Amministrazione,media
112,smart working,"Gentilissimi, la fattura del fornitore non quadra con le mie note spese Ringraziando anticipatamente, porgo cordiali saluti.",Amministrazione,bassa
113,bloccato,"Buongiorno, non riesco a stampare Distinti saluti.",Tecnico,alta
114,errore sistema,"Con la presente la password non funziona più Ringraziando anticipatamente, porgo cordiali saluti. presentazione tra poco",Tecnico,alta
115,busta paga,contratto scade urgentissimo,Amministrazione,alta
116,internet,Ancora?? word n salva i file È la terza volta che lo segnalo!! pensavo ke forse,Tecnico,bassa
117,ferie,richiesta smart working ...non ricordo bene,Amministrazione,media
118,fattura,Buongiorno sono un nuovo cliente ok?,Commerciale,media
119,ERRORE SISTEMA,pc è lentissimo grazie,Tecnico,media
120,permesso,contratto scade bloccato completamente,Amministrazione,alta
121,ufficio personale,Ehi devo fare il rimborso spese grz devo risolvere oggi,Amministrazione,alta
122,sconto,upgrade del piano e aggiungo che un mio collega ha lo stesso identico problema,Commerciale,bassa
123,ufficio personale,Salve devo scaricare la cud ma il sito non funziona ok? quando potete,Amministrazione,bassa
124,password,"Ciao, il programma si blocca sempre thx solo per sapere",Tecnico,bassa
125,ordine,NON E ACCETTABILE CHE IL PRODOTTO È DIFETTOSO É LA TERZA VOLTA KE LO SEGNALO!! QND POTETE,Commerciale,media
126,DOCUMENTO,"Gentilissimi, info sul tfr Ringraziando anticipatamente, porgo cordiali saluti. quando potete",Amministrazione,bassa
127,ferie,Buongiorno lettera di referenze grazie! quando potete,Amministrazione,media
128,offerta,"Gentilissimi, assistenza post vendita graz per la collaborazione. serve subito",Commerciale,alta
129,rimborso,vorrei chiedere ferie,Amministrazione,bassa
130,supporto,non riesco ad accedere al portale vedere busta paga,Tecnico,bassa
131,pc rotto,"Spett.le ufficio, l'audio non si sente Resto in attesa di un cortese riscontro.",Tecnico,media
132,730,VORREI CHIEDERE LE FERIE INOLTRE VI FACCIO PRESENTE CHE QUESTA SITUAZIONE VA AVANTI DA SETTIMANE NON C'È FRETTA,Amministrazione,bassa
133,non funziona,devo scaricare la cud ma il sito non funziona ok?,Amministrazione,media
134,SPEDIZIONE,voglio annullare l'ordine i clienti chiamano,Commerciale,alta
135,straordinari,devo fare una trasferta comunque sia vi chiedo di intervenire il prima possibile se potete devo partire,Amministrazione,alta
136,documento,DOCUMENTI PER LA  NON SO SE MI SPIEGO  BANCA BOH,Amministrazione,media
137,stampa,excel si chiude da solo thx,Tecnico,media
138,NON VA,ho preso un  nel senso  virus ...non ricordo bene,Tecnico,media
139,supporto,Vi scrivo per devo parlare con hr Resto in attesa di un cortese riscontro. già che ci siete,Amministrazione,bassa
140,guasto,upgrade del piano e volevo anche dire che ho già provato di tutto ma non funziona niente è urgenete,Commerciale,alta
141,rete,Ehi nn ho più spazio sul disco ciao,Tecnico,alta
142,malattia,informazioni sul tfr perché come sapete è già da un po' che ho questo problema e non so più cosa fare il cliente aspetta,Amministrazione,alta
143,malattia,"Desidero segnalare che vorrei chiedere le ferie In attesa di Vs. risposta, cordialmente. stiamo perdendo tempo",Amministrazione,alta
144,reclamo,fattura e' sbagliata,Commerciale,media
145,virus?,"non mi arrivano le mail dei clienti, controllate grazie! devo risolvere oggi",Tecnico,alta
146,importante,devo fare trasferta non è urgenete,Amministrazione,bassa
147,fattura,voglio annullare l'ordine o qualcosa del genere,Commerciale,media
148,errore,la stampante insomma non stampa o qualcosa del genere???,Tecnico,media
149,hr,assegni familiari riunione importante,Amministrazione,alta
150,aiuto,Ehi non riesco a stampare ciao???,Tecnico,media
151,reso,il prodotto è difettoso inoltre vi faccio presente che questa situazione va avanti da settimane quando potete,Commerciale,bassa
152,bloccato,il monitor n si diciamo che accende mah deadline domani,Tecnico,alta
153,730,devo comunicare  praticamente  la malattia (o forse era un'altra cosa?),Amministrazione,media
154,Re: Re:,Ancora?? la webcam non funziona Voglio parlrae con un responsabile! solo x sapere,Tecnico,bassa
155,non funziona,sono un nuovo cliente comunque sia vi chiedo di intervenire il pprima possibilr se potete siamo in ritardo,Commerciale,alta
156,leggere,mi serve certificato lavoro,Amministrazione,media
157,SCONTO,"MA É POSIBILE CHE NN RIESCO A FARE L'ORDINE ONLINE, IL SITO DA ERRORE N E' POSSIBILIE ANDARE AVANTI COSÌ",Commerciale,media
158,permesso,PER L'ENNESIMA VOLTA: CONGEDO PARENTALE INACCETTABILE!!!,Amministrazione,media
159,smart working,mi serve un certificato di lavoro grazie! una cosina veloce: non riesco più ad accedere a nulla,Amministrazione,media
160,guasto,"Buongiorno non mi arrivano le mail dei clienti, controllate grz!!!",Tecnico,bassa
161,rotto,pc è lentissimo,Tecnico,media
162,hr,contributi sono sbagliati grazie,Amministrazione,media
163,non funziona,Non è accettabile che non vedo le cartelle condivise Pretendo una risposta OGGI! RIUNIONE IMPORTANTE,Tecnico,alta
164,reso,NON È ACCETTABILE CHE ASSISTENZA POST VENDITA INACCETTABILE!!! SERVE SUBITO,Commerciale,alta
165,ASSISTENZA,Non è accettabile che devo fare un ordine ma ho bisogno dell'approvazione del budget Npn è possibile andare avanti così,Commerciale,media
166,ROTTO,Desidero segnalare che il wifi non prende Grazie per la collaborazione. aspetto risposta,Tecnico,media
167,Re: Re:,"Vi scrivo per devo fare il rimborso spese In attesa di Vs. risposta, cordialmente. devo partire",Amministrazione,alta
168,computer,mail non parte grazie,Tecnico,media
169,offerta,"Spett.le ufficio, feedback sul servizio Grazie per la collaborazione. con calma",Commerciale,bassa
170,guasto,Vi scrivo per il pc non funziona e n riesco a mandare l'ordine né a timbrare le ferie Grazie per la collaborazione.,Tecnico,bassa
171,LEGGERE,devo fare una praticamente trasferta (o forse era un'altra cosa?) già che ci siete,Amministrazione,bassa
172,ticket,PER L'ENNESIMA VOLTA: IL PRODOTTO È IN GARANZIA? NON È POSSIBILE ANDARE AVANTI COSÌ!,Commerciale,media
173,permesso,voglio dare dimissioni,Amministrazione,bassa
174,permesso,fattura del fornitore non quadra mie note spese,Amministrazione,bassa
175,cliente,mi serve il listino prezzi e aggiungo che un mio collega ha lo stesso identico problema bloccato completamente,Commerciale,alta
176,ufficio personale,Ehi i contributi sono sbagliati ciao serve subito,Amministrazione,alta
177,richiesta,richiesta smart working thx,Amministrazione,bassa
178,ticket,anticipo stipendio aspetto risposta,Amministrazione,media
179,disponibilità,"Gentilissimi, il prodotto è difettoso Resto in attesa di un cortese riscontro. niente di grave",Commerciale,bassa
180,rimborso,Salve cambio mansione ciao niente di grave,Amministrazione,bassa
181,richiesta,"Gentilissimi, mi serve la cud Distinti saluti. non c'è fretta",Amministrazione,bassa
182,RICHIESTA,"Gentilissimi, il programma si blocca sempre Ringraziando anticipatamente, porgo cordiali saluti. il cliente aspetta",Tecnico,alta
183,computer,schermo sfarfalla era solo un'idea,Tecnico,bassa
184,Re: Re:,richiesta maternità mah è un'emergenza,Amministrazione,alta
185,richiesta,ANCORA?? CONGEDO PARENTALE VOGLIO PARLARE CON UN RESPONSABILE! TUTTP BLOCCATO,Amministrazione,alta
186,stampa,MA È POSSIBILE CHE HO PERSO TUTTI I DOCUMENTI È LA TERZA VOLTA CHE LO SEGNALO!!,Tecnico,bassa
187,730,mi serve certificato lavoro è un'emergenza,Amministrazione,alta
188,ufficio personale,devo cambiare l'iban perché come sapete è già da un po' che ho questo problema e non so più cosa fare il cliente aspetta,Amministrazione,alta
189,computer,Gentilissimi sn in smart working ma il vpn non va e devo fare le note spese e un ordine Grazie per la collaborazione. devo partire,Tecnico,alta
190,disponibilità,"ciao, il mio ordine è in ritardo ciao una cosina veloce: non riesco più ad accedere a nulla???",Commerciale,media
191,hr,aiuto con il  praticamente  730 o qualcosa del genere bloccato completamente,Amministrazione,alta
192,urgente,vpn non si connette e volevo ank dire ch ho già provato di tutto ma non funziona niente,Tecnico,media
193,cedolino,voglio dare le dimissioni perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Amministrazione,bassa
194,problema pc,il mouse non risponde e volevo anche dire che ho già provato di tutto ma non funziona niente non so se si può,Tecnico,bassa
195,Fwd:,Non è accettabile che assegni familiari Inaccettabile!!! DEVO RISOLVERE OGGI,Amministrazione,alta
196,smart working,devo scaricare la cud ma  insomma  il sito non funziona ...non ricordo bene,Amministrazione,alta
197,AIUTO,Basta! word non salva i file Voglio parlare con un responsabile!,Tecnico,bassa
198,disponibilità,sollecito pagamento thx,Commerciale,media
199,reclamo,proposta di collaborazione ...non ricordo bene deadline domani,Commerciale,alta
200,preventivo,non riseco a fare l'ordine online il sito da insomma errore o qualcosa del genere aspetto risposta,Commerciale,media
201,bloccato,buongiorno sono in smart working ma il vpn non va e devo fare le note spese e un ordine thx bloccato completamente,Tecnico,alta
202,aiuto,i contributi come dire sono sbagliati ...non ricordo bene i clienti chiamano,Amministrazione,alta
203,permesso,cambio mansione ok,Amministrazione,bassa
204,assistenza,il cedolino ha un errore comunque sia vi chiedo di intervenire il prima possibile se potete con calma,Amministrazione,bassa
205,stampa,ho preso diciamo che un virus ...non ricordo bene,Tecnico,bassa
206,segnalazione,LA FATTURA DEL FORNITORE NON QUADRA CON  INSOMMA  LE MIE NOTE SPESE ...NON RICORDO BENE GRAZIE,Amministrazione,media
207,Fwd:,Basta! il computer si spegne da solo Voglio parlare con un responsabile!,Tecnico,media
208,ordine,"Buongiorno, sollecito pagamento Ringraziando anticipatamente, porgo cordiali saluti. è un'emergenza",Commerciale,alta
209,cedolino,contratto scade,Amministrazione,media
210,malattia,mi serve un certificato cm dire di lavoro may,Amministrazione,media
211,rete,la password non funziona  più o meno  più boh,Tecnico,alta
212,cliente,feedback sul servizio se avete tempo,Commerciale,bassa
213,hr,vorrei chiedere  diciamo che  le ferie boh,Amministrazione,media
214,contratto,informazioni prestito aziendale mah,Amministrazione,bassa
215,LEGGERE,detrazioni fiscali perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Amministrazione,media
216,permesso,Buongiorno devo fare una trasferta ok?,Amministrazione,media
217,VPN,Basta! ho preso un virus È la terza volta che lo segnalo!! stiamo perdendo tempo,Tecnico,alta
218,INFO,internet non funzina,Tecnico,media
219,bloccato,Vi scrrivo per la stampante non stampa Distinti saluti. i clienti chiamano,Tecnico,alta
220,richiesta,anticipo stipendio grz grazie,Amministrazione,media
221,documento,richiesta maternità inoltre vi faccio presente che questa situazione va avnti da settimane,Amministrazione,media
222,documento,MA È POSSIBILE CHE VORREI CHIEDERE LE FERIE INACCETTABILE!!!,Amministrazione,bassa
223,schermo nero,il programma si blocca praticamente sempre ...non ricordo bene devo partire,Tecnico,alta
224,pc rotto,schermo nero quando più o meno accendo (o forse era un'altra cosa?),Tecnico,media
225,CONTRATTO,Per l'ennesima volta: aiuto con il 730 Pretendo una risposta OGGI!,Amministrazione,media
226,straordinari,mi serve la cud grz fatemi sapere,Amministrazione,media
227,urgente,il sistema delle ferie n mi fa inserire la richiesta da errore e aggiungo che un mio collega ha lo stesso identico problema so che è urgente ma non c'è fretta fate con comodo,Amministrazione,media
228,ticket,devo fare praticamente il rimborso spese (o forse era un'altra cosa?) niente di grave,Amministrazione,bassa
229,reso,sollecito pagamento mah,Commerciale,bassa
230,errore,pc è lentissimo,Tecnico,media
231,catalogo,vorrei un preventivo e aggiungo che un mio collega ha lo stesso identico problema quando potete,Commerciale,media
232,errore sistema,teams non funziona e aggiungo che un mio collega ha lo stesso identico problema?!,Tecnico,alta
233,guasto,la fattura del fornitore non quadra con le mie note spese urgente,Amministrazione,alta
234,SPEDIZIONE,devo fare un  nel senso  reso ...non ricordo bene è urgente,Commerciale,alta
235,errore sistema,il pc non si accende perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Tecnico,media
236,TICKET,MA È POSSIBILE CHE LA FATTURA È SBAGLIATA VOGLIO PARLARE CON UN RESPONSABILE! NON POSSO LAVORARE,Commerciale,alta
237,DOMANDA,LA PASSWORD NON NON SO SE MI SPIEGO FUNZIONA PIÙ BOH,Tecnico,media
238,PC ROTTO,non mi fa entrare praticamente nel sistema mah,Tecnico,media
239,non funziona,cambio mansione ok?,Amministrazione,bassa
240,aiuto,Ancora?? vorrei dei campioni Voglio parlare con un responsabile! tutto bloccato,Commerciale,alta
241,non funziona,Ehi il pc non funziona e non riesco a mandare l'ordine né a timbrare le ferie ok? quando potete,Tecnico,media
242,pagamento,spedizione urgente grazie! siamo in ritardo,Commerciale,alta
243,PASSWORD,Basta! il gestionale fatture si blocca sempre quando apro le fatture Non è possibile andare avanti così! una cosina veloce: non riesco più ad accedere a nulla,Tecnico,media
244,(nessun oggetto),mi serve listino prezzi serve subito,Commerciale,alta
245,assistenza,BASTA! MI SERVE LA CUD NON È POSSIBILE ANDARE AVANTI COSÌ,Amministrazione,bassa
246,da risolvere,"Con la presente richiesta maternità In attesa di Vs. risposta, cordialmente. i clienti chiamano",Amministrazione,alta
247,reso,sono un diciamo che nuovo cliente (o forse era un'altra cosa?) quando potete,Commerciale,media
248,reso,upgrade del piano,Commerciale,media
249,catalogo,EHI DOV'È IL MIO ORDINE OK? NN POSSO LAVORRE,Commerciale,alta
250,problema,Basta! il wifi non prende Voglio parlare con un responsabile! quando potete,Tecnico,media
251,HR,N E ACCETTABILE CHE LA FATTURA DEL FORNITORE NN QUADRA CON LE MIE NOTE SPESE E LA TERZA VOLTA CHE LO SEGNALO!! GRAIZE,Amministrazione,media
252,NON VA,BASTA! L'AUDIO NON SI SENTE PRETENDO UNA RISPOSTA OGGI! RIUNIONE IMPOTANTE,Tecnico,alta
253,malattia,mi serve certificato lavoro se avete tempo,Amministrazione,bassa
254,FATTURA,PER L'ENNESIMA VOLTA: POSSO AVERE UNO SCONTO INACCETTABILE!!!?!,Commerciale,media
255,busta paga,assegni familiari (o forse era un'altra cosa?),Amministrazione,media
256,lento,"Gentilissimi, vpn non si connette In attesa di Vs. risposta, cordialmente. dobbiamo consegnare",Tecnico,alta
257,offerta,sollecito pagamento,Commerciale,bassa
258,domanda,DESIDERO SEGNALARE CHE POSSO AVERE UNO SCONTO RESTO IN ATTESA DI UN CORTESE RISCONTRO.,Commerciale,media
259,730,mi serve cud,Amministrazione,media
260,mail,Salve ho preso un virus ciao devo partire,Tecnico,alta
261,rimborso,devo scaricare la cud ma cioè il sito n funziona mah,Amministrazione,alta
262,730,detrazioni fiscali,Amministrazione,media
263,richiesta,aiutoo con più o meno il 730 ...non ricordo bene,Amministrazione,alta
264,ordine,proposta collaborazione non posso lavorarre,Commerciale,alta
265,non va,il backup non  nel senso  parte (o forse era un'altra cosa?) è urgente,Tecnico,alta
266,reso,il prodotto è in garanzia? perché come sapete è già da un po' che ho questo problema e non so più cosa fare non posso lavorare,Commerciale,alta
267,PC ROTTO,PER L'ENNESIMA VOLTA: L'AUDIO NN SI SENTE È LA TERZA VOLTA CHE LO SEGNALO!! ASPETTO RISPOSTA,Tecnico,media
268,smart working,anticipo stipendio non posso lavorare,Amministrazione,alta
269,aiuto,devo modificare l'ordine (o forse era un'altra cosa?),Commerciale,bassa
270,urgente,ho perso tutti i documenti perché come sapete è già da un po' che ho questo problema e nn so più cosa fare,Tecnico,media
271,supporto,busta paga è sbagpiata magari un giorno,Amministrazione,bassa
272,rotto,il pc praticamente fa rumori strani o qualcosa del genere devo risolvere oggi???,Tecnico,alta
273,rimborso,la fattura del  come dire  fornitore non quadra con le mie note spese boh deadline domani,Amministrazione,alta
274,pc rotto,Buongiorno il pc si spegne da solo i clienti chiamano,Tecnico,alta
275,computer,"non mi arrivano le mail dei clienti, controllate thx curiosità",Tecnico,bassa
276,RICHIESTA,non è accettabile che vorrei chiedere le ferie non è possibile andare avanti così! riunione importante,Amministrazione,alta
277,aiuto,PER L'ENNESIMA VOLTA: DEVO FARE UN RESO INACCETTABILE!!! RIUNIONE IMPORTANTE,Commerciale,alta
278,mail,"Vi scrivo per non mi arrivano le mail dei clienti, controllate Ringraziando anticipatamente, porgo cordiali saluti. urgentissimo",Tecnico,alta
279,730,devo scaricare  insomma  la cud ma il sito non funziona (o forse era un'altra cosa?),Amministrazione,media
280,guasto,"Spett.le ufficio, l'articolo è disponibile In attesa di Vs. risposta, cordialmente.",Commerciale,media
281,pagamento,l'articolo è disponibile ...non ricordo bene niente di che ma il sistema è completamente bloccato!!,Commerciale,media
282,mail,Buongiorno teams non funziona ok? solo per sapere,Tecnico,bassa
283,lento,stampante nn stampa niente di grave,Tecnico,bassa
284,disponibilità,assistenza post vendita ok? è urgenete,Commerciale,alta
285,smart working,gli straordinari non sono stati pagati deadline domani,Amministrazione,alta
286,problema,il cedolino ha  più o meno  un errore o qualcosa del genere magari un giorno,Amministrazione,bassa
287,rimborso,lettera di referenze mah,Amministrazione,media
288,vi prego,il mouse non  non so se mi spiego  risponde boh niente di grave,Tecnico,bassa
289,permesso,voglio dare le dimissioni perché come sapete è già da un po' che ho questo problema e non so più cosa fare non so se si può,Amministrazione,bassa
290,FWD:,Ancora?? sollecito pagamento é la terza volta ke lo segnalo!! URGENTISSIMO,Commerciale,alta
291,problema,non riesco a fare l'ordine onlnie il sito da errore perché come sapete e' già da un po' che ho qsto problema e n so più cs fare,Commerciale,bassa
292,permesso,vorrei chiedere ferie pensavo che forse,Amministrazione,bassa
293,non va,backup non parte sono fermo,Tecnico,alta
